AAVE,SAE
they're- they're going on like sixteen- seventeen years. i don't know. [eighteen years. i'm doing a discredit.],they've-they'vebeen together like sixteen-seventeen years. i don't know. [eighteen years. i'm doing a discredit to them.]
"[oh, that's cool.]","[oh, that's nice.]"
"and at the time, he was actually staying with us too. and i remember them coming home one day","and at the time, he was actually living with us too. and i remember them coming home one day"
"i- i learned, like i have to share spaces with people",i learned that i have to share space with people. 
"i would be on my- i would come in the morning and all these different people woul- are on the floor, living in my house. my cousins.","i would be on my- i would come inside the house in the morning and different people woul-would be on the floor, living in my house. my cousins. "
"[you know.] so, that's how it touched me too.","[you know.] so, that's how it affected me too."
"so, like, my brother, he came home beat up a couple of times.",my brother came home beat up a couple times. 
got into some stuff.,got into some trouble. 
"and my mother makes a big deal out of it. she's like, oh your daughters are so cute.","and my mother made a big deal out of it. she said, oh your daughters are so cute. "
and this lady was like,and this lady
"and she kissed me, and my mother, she literally went crazy.","she kissed me, and my mother went crazy. "
"[we don't know where] her lips were, my mother washed [my face, she would check me- took] me to the doctor to get my skin checked, it was a big thing.","[we don't know where] her lips were, my mother washed [my face, she would check my face and took] me to the doctor to get my skin checked, it was a big deal. "
"but, it was like, no. no. don't touch my children. i don't want none of the- [these things]","but she said, no. no. don't touch my children. i don't want any of the- [those things]"
"but, it was like",but 
"if i think about it, it was this guy, his name is /rd-name-1/.","if i think about it, there was this guy, his name was /rd-name-1/."
and i was ta- he was tryna talk to one of my little friends.,and i was ta- he was trying to flirt with one of my friends.
he's tryna talk to my little friend.,he's trying to flirt with my friend. 
"and i was like, i'm- was almost a little- like really like","and i thought, i'm- was almost a little- i am really"
"outspoken. i still am, but you know.","outspoken. i still am, but in a dfferent way. "
"[i was more like, what?]","[i thought, what?]"
"and i said to him, but t- should've minded my business, i said","and i said to him, but t-i should have ignored him, i said"
that's a little girl you're messing with. you don't got enough girls your age? what you doing with that little girl? that's nasty.,that's a little girl you're harassing. do you like girls your own age? what are you doing with that little girl. that's nasty. 
"we were still young. he was probably was sixteen, or","we were still young. he was probably sixteen, or"
"fifteen at the time. he was still a young kid, we were all still little kids, but [he had a] gun.","fifteen at the time. he was a young kid, we were all young kids, but [he had a] gun. "
[and he-] he pulled it?,[and he] he pulled it out? 
he pulled it out on me. he was like you need to open u- you need to shut your mouth up,he pointed the gun at me. he told me to open u-you need to shut your mouth 
or i'll take care of you-,or i'll kill you. 
"i'll take care of you and your- and go- and he said, i'll take care of you, he says, and get your brother.","i'll kill you and your-and go-and he said, i''ll kill you and kill your brother. "
"and that's when i realize, like","and that's when i realized, "
"i realize i need to never do that again. never open my mouth and put my family at risk, cause here it is, my brother","i realized i should never do that again. i should never open my mouth and put my family at risk, because here it is, my brother "
